,TRAN_AMT,ACCT_PRE_TRAN_AVAIL_BAL,CUST_AGE,OPEN_ACCT_CT,WF_dvc_age,PWD_UPDT_TS,CARR_NAME,RGN_NAME,STATE_PRVNC_TXT,ALERT_TRGR_CD,DVC_TYPE_TXT,AUTHC_PRIM_TYPE_CD,AUTHC_SCNDRY_STAT_TXT,CUST_ZIP,CUST_STATE,PH_NUM_UPDT_TS,CUST_SINCE_DT,TRAN_TS,TRAN_DT,FRAUD_NONFRAUD,median_income,mean_income,overall_rank,state,fraud_score,id_theft_rank,fraud_rank,policy rank,AGE,year,month,fraud_hits,alert_counts,fraud_alert_ratio
15,72.34,3921.73,Senior,2,319,2-3 years,centurylink communications  llc,southwest,arizona,ONLN,MOBILE,FACE_ID,ALLOW,89121,NV,2-3 years,1996-05-05,Morning,6/17/2021,Non-Fraud,42530.0,59385.0,4,NV,67.15,13,2,22,63,2021,6,0,10,0.0
16,58.51,0.0,Young Adult,6,306,1 year or Less,comcast cable communications  llc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,89121,NV,1 year or Less,2004-07-17,Morning,1/12/2021,Non-Fraud,42530.0,59385.0,4,NV,67.15,13,2,22,26,2021,1,0,10,0.0
17,22.67,0.0,Adult,4,1642,Unknown,frontier communications of america  inc.,southwest,california,ONLN,DESKTOP,UN_PWD,ALLOW,89121,NV,Unknown,1988-10-21,Morning,6/10/2021,Non-Fraud,42530.0,59385.0,4,NV,67.15,13,2,22,37,2021,6,0,10,0.0
18,2.66,0.0,Senior,5,53,3-4 years,frontier communications of america  inc.,southwest,california,ONLN,MOBILE,FACE_ID,ALLOW,89011,NV,Unknown,1998-02-06,Afternoon,3/25/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,63,2021,3,0,14,0.0
19,11.97,58011.98,Senior,4,227,1 year or Less,mci communications services  inc. d/b/a verizon business,mid atlantic,new jersey,MOBL,MOBILE,AFA_PL,ALLOW,89011,NV,Unknown,1969-03-07,Evening,4/8/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,67,2021,4,0,14,0.0
20,49.01,29391.03,Young Adult,5,2669,Unknown,comcast,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89011,NV,Unknown,2018-11-23,Morning,5/6/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,24,2021,5,0,14,0.0
21,0.01,2094.7,Young Adult,3,189,Unknown,att services inc,southwest,california,MOBL,missing,UN_PWD,ALLOW,89011,NV,3-4 years,1982-07-23,Evening,4/15/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,19,2021,4,0,14,0.0
22,461.32,0.0,Senior,2,78,3-4 years,t-mobile usa  inc.,southwest,california,ONLN,DESKTOP,UN_PWD,ALLOW,89011,NV,1 year or Less,2000-02-23,Afternoon,2/28/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,63,2021,2,0,14,0.0
23,0.01,1530.93,Adult,2,12,1 year or Less,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89011,NV,Unknown,1998-06-26,Morning,2/14/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,33,2021,2,0,14,0.0
24,456.15,25683.55,Senior,4,800,2-3 years,att services inc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89011,NV,Unknown,2017-11-10,Afternoon,4/22/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,73,2021,4,0,14,0.0
25,0.01,1092.16,Adult,5,162,Unknown,t-mobile usa  inc.,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,89011,NV,1 year or Less,1997-09-07,Afternoon,1/6/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,36,2021,1,0,14,0.0
26,11.09,54621.89,Adult,5,965,1 year or Less,comcast cable communications  llc,southwest,california,ONLN,MOBILE,FACE_ID,ALLOW,89011,NV,2-3 years,1997-01-07,Morning,1/1/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,39,2021,1,0,14,0.0
27,16.07,0.0,Adult,6,369,2-3 years,t-mobile usa  inc.,south central,texas,MOBL,MOBILE,UN_PWD,ALLOW,89011,NV,3-4 years,1995-01-26,Morning,5/19/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,35,2021,5,0,14,0.0
28,0.01,0.0,Senior,6,984,1 year or Less,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89011,NV,2-3 years,2003-04-20,Morning,1/5/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,70,2021,1,0,14,0.0
29,1.32,0.0,Senior,6,355,1 year or Less,centurylink communications  llc,southwest,arizona,ONLN,DESKTOP,FACE_ID,ALLOW,89011,NV,Unknown,2003-07-31,Morning,6/24/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,79,2021,6,0,14,0.0
30,41.59,961.42,Adult,2,151,2-3 years,centurylink communications  llc,southwest,arizona,MOBL,DESKTOP,UN_PWD,ALLOW,89011,NV,Unknown,2012-02-04,Afternoon,3/6/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,37,2021,3,0,14,0.0
31,462.08,2876.75,Adult,5,2,3-4 years,comcast,mountain,colorado,MOBL,MOBILE,TOUCH_ID,ALLOW,89011,NV,2-3 years,2012-01-09,Afternoon,5/16/2021,Non-Fraud,70129.0,101139.0,4,NV,67.15,13,2,22,54,2021,5,0,14,0.0
32,14.4,0.0,Senior,3,500,Unknown,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89106,NV,1 year or Less,2000-04-11,Afternoon,2/3/2021,Non-Fraud,29906.0,43953.0,4,NV,67.15,13,2,22,60,2021,2,1,4,0.25
33,470.9,3249.44,Young Adult,36,1145,3-4 years,scatui,southwest,arizona,ONLN,MOBILE,AFA_PL,ALLOW,89106,NV,1 year or Less,1971-10-22,Evening,7/2/2021,Non-Fraud,29906.0,43953.0,4,NV,67.15,13,2,22,29,2021,7,1,4,0.25
34,489.48,3248.85,Senior,7,1122,2-3 years,centurylink communications  llc,midwest,nebraska,ONLN,MOBILE,UN_PWD,ALLOW,89106,NV,Unknown,1971-06-19,Afternoon,2/26/2021,Fraud,29906.0,43953.0,4,NV,67.15,13,2,22,91,2021,2,1,4,0.25
35,480.1,0.0,Senior,6,1242,1 year or Less,at&t mobility llc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89106,NV,2-3 years,1988-07-05,Morning,2/3/2021,Non-Fraud,29906.0,43953.0,4,NV,67.15,13,2,22,62,2021,2,1,4,0.25
36,0.01,0.0,Adult,5,959,Unknown,cox communications inc.,southwest,arizona,ONLN,DESKTOP,UN_PWD,ALLOW,89521,NV,1 year or Less,2002-12-20,Evening,6/24/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,50,2021,6,0,15,0.0
37,51.9,8813.66,Senior,4,23,Unknown,cox communications inc.,southwest,nevada,ONLN,MOBILE,UN_PWD,ALLOW,89521,NV,2-3 years,1989-03-22,Morning,2/22/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,65,2021,2,0,15,0.0
38,0.01,0.0,Adult,3,2695,2-3 years,cox communications inc.,southwest,arizona,MOBL,MOBILE,UN_PWD,ALLOW,89521,NV,1 year or Less,2003-01-26,Afternoon,1/2/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,52,2021,1,0,15,0.0
39,52.99,3525.95,Senior,7,2,1 year or Less,cox communications inc.,southwest,nevada,ONLN,MOBILE,UN_PWD,ALLOW,89521,NV,Unknown,1991-02-22,Morning,3/4/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,81,2021,3,0,15,0.0
40,458.74,278.32,Young Adult,5,504,3-4 years,comcast,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89521,NV,3-4 years,2000-08-02,Afternoon,1/25/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,21,2021,1,0,15,0.0
41,254.66,3378.71,Adult,4,15,3-4 years,comcast cable communications  llc,southwest,california,MOBL,DESKTOP,UN_PWD,ALLOW,89521,NV,Unknown,1996-09-15,Afternoon,7/2/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,46,2021,7,0,15,0.0
42,0.01,0.0,Adult,3,884,1 year or Less,centurylink communications  llc,southwest,arizona,MOBL,MOBILE,FACE_ID,ALLOW,89521,NV,1 year or Less,2018-10-01,Evening,6/2/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,54,2021,6,0,15,0.0
43,258.68,613.68,Adult,3,9,Unknown,centurylink communications  llc,southwest,arizona,MOBL,MOBILE,UN_PWD,ALLOW,89521,NV,2-3 years,1991-07-02,Morning,3/21/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,44,2021,3,0,15,0.0
44,450.52,0.0,Senior,3,174,1 year or Less,comcast cable communications  llc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,89521,NV,Unknown,2003-06-19,Morning,1/25/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,66,2021,1,0,15,0.0
45,465.22,459.84,Adult,2,279,1 year or Less,charter communications,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,89521,NV,Unknown,1991-07-21,Afternoon,2/28/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,56,2021,2,0,15,0.0
46,7.04,251.94,Adult,5,14,Unknown,missing,missing,missing,MOBL,MOBILE,UN_PWD,ALLOW,89521,NV,Unknown,1995-11-09,Morning,4/1/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,53,2021,4,0,15,0.0
47,215.92,5378.22,Adult,5,10,2-3 years,at&t mobility llc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89521,NV,1 year or Less,2017-12-08,Morning,4/30/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,52,2021,4,0,15,0.0
48,0.01,0.0,Senior,10,691,3-4 years,charter communications  inc,southeast,florida,MOBL,MOBILE,UN_PWD,ALLOW,89521,NV,1 year or Less,2004-01-06,Early Morning,7/6/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,66,2021,7,0,15,0.0
49,483.31,0.0,Adult,3,364,3-4 years,frontier communications of america  inc.,southwest,california,ONLN,DESKTOP,UN_PWD,ALLOW,89521,NV,Unknown,2003-10-13,Morning,7/6/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,54,2021,7,0,15,0.0
50,463.82,0.0,Adult,4,1061,1 year or Less,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89521,NV,Unknown,1997-08-03,Evening,5/24/2021,Non-Fraud,93131.0,113002.0,4,NV,67.15,13,2,22,47,2021,5,0,15,0.0
51,416.3,1835.11,Young Adult,12,2169,Unknown,centurylink communications  llc,northeast,new york,MOBL,MOBILE,TOUCH_ID,ALLOW,89169,NV,Unknown,2017-08-01,Afternoon,7/3/2021,Non-Fraud,30581.0,44535.0,4,NV,67.15,13,2,22,29,2021,7,2,10,0.2
52,0.01,0.0,Senior,4,4,2-3 years,missing,missing,missing,MOBL,MOBILE,UN_PWD,ALLOW,89169,NV,Unknown,1983-03-14,Morning,5/3/2021,Non-Fraud,30581.0,44535.0,4,NV,67.15,13,2,22,61,2021,5,2,10,0.2
53,55.0,5916.89,Senior,3,631,Unknown,cellco partnership dba verizon wireless,mid atlantic,new jersey,MOBL,MOBILE,UN_PWD,ALLOW,89169,NV,Unknown,2004-12-16,Morning,6/17/2021,Non-Fraud,30581.0,44535.0,4,NV,67.15,13,2,22,65,2021,6,2,10,0.2
54,237.67,563.29,Senior,9,2303,1 year or Less,missing,missing,missing,MOBL,MOBILE,UN_PWD,ALLOW,89169,NV,2-3 years,2008-02-25,Afternoon,7/26/2021,Non-Fraud,30581.0,44535.0,4,NV,67.15,13,2,22,65,2021,7,2,10,0.2
55,21.58,6291.38,Senior,7,723,3-4 years,electronic corporate pages  inc,south central,texas,ONLN,MOBILE,FACE_ID,ALLOW,89169,NV,Unknown,1992-05-26,Morning,6/16/2021,Non-Fraud,30581.0,44535.0,4,NV,67.15,13,2,22,60,2021,6,2,10,0.2
56,975.55,16804.35,Senior,2,452,2-3 years,att services inc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89169,NV,Unknown,1998-12-13,Afternoon,1/10/2021,Non-Fraud,30581.0,44535.0,4,NV,67.15,13,2,22,86,2021,1,2,10,0.2
57,490.47,85442.62,Senior,5,324,1 year or Less,missing,missing,missing,MOBL,DESKTOP,UN_PWD,ALLOW,89169,NV,1 year or Less,1975-10-04,Afternoon,7/8/2021,Fraud,30581.0,44535.0,4,NV,67.15,13,2,22,66,2021,7,2,10,0.2
58,490.89,1967.76,Senior,2,469,3-4 years,cox communications inc.,southwest,arizona,MOBL,MOBILE,FACE_ID,CHALLENGE_SUCCESS,89169,NV,1 year or Less,1999-03-13,Early Morning,8/9/2021,Fraud,30581.0,44535.0,4,NV,67.15,13,2,22,81,2021,8,2,10,0.2
59,434.91,325.65,Senior,8,36,3-4 years,t-mobile usa  inc.,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,89169,NV,Unknown,1994-05-26,Early Morning,6/4/2021,Non-Fraud,30581.0,44535.0,4,NV,67.15,13,2,22,67,2021,6,2,10,0.2
60,26.84,9182.26,Adult,5,161,1 year or Less,charter communications inc,pacific northwest,idaho,MOBL,DESKTOP,TOUCH_ID,ALLOW,89169,NV,Unknown,2004-08-13,Morning,6/30/2021,Non-Fraud,30581.0,44535.0,4,NV,67.15,13,2,22,39,2021,6,2,10,0.2
61,142.89,12523.39,Adult,8,165,Unknown,centurylink communications  llc,midwest,south dakota,MOBL,MOBILE,UN_PWD,ALLOW,89410,NV,2-3 years,1993-05-10,Afternoon,3/7/2021,Non-Fraud,63841.0,80278.0,4,NV,67.15,13,2,22,33,2021,3,1,3,0.3333333333333333
62,58.65,2955.89,Adult,6,0,1 year or Less,t-mobile usa  inc.,southwest,nevada,MOBL,DESKTOP,UN_PWD,ALLOW,89410,NV,1 year or Less,2021-12-29,Unknown,2021-12-29 00:00:00,Fraud,63841.0,80278.0,4,NV,67.15,13,2,22,46,9999,,1,3,0.3333333333333333
63,36.83,4925.66,Adult,9,1146,Unknown,"etheric networks, inc.",southwest,california,ONLN,MOBILE,TOUCH_ID,ALLOW,89410,NV,3-4 years,1995-06-05,Evening,3/4/2021,Non-Fraud,63841.0,80278.0,4,NV,67.15,13,2,22,55,2021,3,1,3,0.3333333333333333
64,19.99,1490.11,Adult,3,469,1 year or Less,att services inc,south central,texas,ONLN,MOBILE,FACE_ID,ALLOW,89117,NV,3-4 years,1999-05-01,Afternoon,3/13/2021,Non-Fraud,58608.0,90586.0,4,NV,67.15,13,2,22,38,2021,3,2,6,0.3333333333333333
65,7.07,526.45,Senior,12,118,1 year or Less,t-mobile usa  inc.,south central,texas,ONLN,missing,FACE_ID,ALLOW,89117,NV,2-3 years,2002-09-16,Afternoon,3/4/2021,Non-Fraud,58608.0,90586.0,4,NV,67.15,13,2,22,71,2021,3,2,6,0.3333333333333333
66,8.92,1273.66,Adult,4,848,1 year or Less,cablevision systems corp.,northeast,new york,ONLN,MOBILE,UN_PWD,ALLOW,89117,NV,2-3 years,1964-04-30,Afternoon,2/9/2021,Non-Fraud,58608.0,90586.0,4,NV,67.15,13,2,22,39,2021,2,2,6,0.3333333333333333
67,490.35,3662.41,Young Adult,8,1189,1 year or Less,leaseweb usa  inc.,northeast,new york,ONLN,DESKTOP,UN_PWD,ALLOW,89117,NV,2-3 years,2021-04-04,Unknown,2021-04-04 00:00:00,Fraud,58608.0,90586.0,4,NV,67.15,13,2,22,24,9999,,2,6,0.3333333333333333
68,78.78,273.29,Senior,0,2432,1 year or Less,comcast cable communications  llc,great lakes,michigan,ONLN,DESKTOP,UN_PWD,ALLOW,89117,NV,Unknown,1978-04-12,Afternoon,6/4/2021,Non-Fraud,58608.0,90586.0,4,NV,67.15,13,2,22,93,2021,6,2,6,0.3333333333333333
69,492.9,2612.53,Adult,21,100,1 year or Less,comcast,great lakes,illinois,ONLN,MOBILE,UN_PWD,CHALLENGE_SUCCESS,89117,NV,1 year or Less,2014-11-02,Morning,1/28/2021,Fraud,58608.0,90586.0,4,NV,67.15,13,2,22,59,2021,1,2,6,0.3333333333333333
70,3.07,31575.76,Adult,3,438,3-4 years,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89086,NV,2-3 years,2010-09-28,Afternoon,6/21/2021,Non-Fraud,61741.0,68449.0,4,NV,67.15,13,2,22,39,2021,6,0,1,0.0
71,409.48,0.0,Senior,5,331,1 year or Less,cellco partnership dba verizon wireless,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,89512,NV,Unknown,1981-03-08,Afternoon,6/5/2021,Non-Fraud,38120.0,51258.0,4,NV,67.15,13,2,22,62,2021,6,0,2,0.0
72,424.87,16620.3,Adult,9,1849,1 year or Less,cellco partnership dba verizon wireless,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,89512,NV,Unknown,1987-04-07,Morning,6/1/2021,Non-Fraud,38120.0,51258.0,4,NV,67.15,13,2,22,43,2021,6,0,2,0.0
73,0.01,0.0,Young Adult,2,43,Unknown,t-mobile usa  inc.,south central,texas,MOBL,MOBILE,UN_PWD,ALLOW,89139,NV,Unknown,1992-05-09,Morning,7/11/2021,Non-Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,20,2021,7,1,12,0.08333333333333333
74,488.57,7356.91,Adult,2,0,1 year or Less,missing,missing,missing,ONLN,MOBILE,UN_PWD,ALLOW,89139,NV,Unknown,2018-01-01,Afternoon,2/5/2021,Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,57,2021,2,1,12,0.08333333333333333
75,0.01,142.26,Senior,5,106,Unknown,comcast cable communications  llc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89139,NV,Unknown,1998-04-19,Morning,3/26/2021,Non-Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,60,2021,3,1,12,0.08333333333333333
76,385.76,4949.95,Young Adult,9,101,1 year or Less,cox communications inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89139,NV,Unknown,1986-11-23,Evening,5/3/2021,Non-Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,28,2021,5,1,12,0.08333333333333333
77,465.24,0.0,Senior,3,39,1 year or Less,charter communications,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,89139,NV,Unknown,2013-04-14,Afternoon,7/9/2021,Non-Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,61,2021,7,1,12,0.08333333333333333
78,31.99,1320.74,Senior,5,495,1 year or Less,cox communications inc.,southwest,arizona,ONLN,MOBILE,UN_PWD,ALLOW,89139,NV,Unknown,2015-02-28,Morning,6/11/2021,Non-Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,86,2021,6,1,12,0.08333333333333333
79,19.24,5513.77,Adult,3,146,3-4 years,t-mobile usa  inc.,southwest,california,MOBL,MOBILE,TOUCH_ID,ALLOW,89139,NV,Unknown,1994-08-30,Morning,5/19/2021,Non-Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,55,2021,5,1,12,0.08333333333333333
80,397.7,1648.93,Senior,3,602,1 year or Less,charter communications inc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89139,NV,Unknown,2000-11-18,Morning,5/20/2021,Non-Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,67,2021,5,1,12,0.08333333333333333
81,102.33,10848.36,Adult,13,450,Unknown,t-mobile usa  inc.,southwest,california,ONLN,MOBILE,UN_PWD,CHALLENGE_SUCCESS,89139,NV,Unknown,2007-10-03,Afternoon,2/3/2021,Non-Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,44,2021,2,1,12,0.08333333333333333
82,13.81,4466.88,Senior,4,72,3-4 years,allo communications llc,midwest,nebraska,ONLN,MOBILE,UN_PWD,ALLOW,89139,NV,Unknown,2013-02-01,Afternoon,1/10/2021,Non-Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,69,2021,1,1,12,0.08333333333333333
83,10.51,0.0,Senior,3,89,1 year or Less,charter communications,southwest,california,MOBL,MOBILE,FACE_ID,ALLOW,89139,NV,1 year or Less,1997-08-04,Morning,3/10/2021,Non-Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,72,2021,3,1,12,0.08333333333333333
84,1217.41,496.51,Senior,3,162,1 year or Less,cox communications inc.,southwest,nevada,MOBL,MOBILE,UN_PWD,ALLOW,89139,NV,2-3 years,1993-09-01,Evening,6/24/2021,Non-Fraud,79197.0,95523.0,4,NV,67.15,13,2,22,69,2021,6,1,12,0.08333333333333333
85,490.13,3459.97,Adult,6,0,1 year or Less,missing,missing,missing,ONLN,MOBILE,UN_PWD,ALLOW,89166,NV,1 year or Less,2001-03-08,Afternoon,5/13/2021,Fraud,91126.0,100798.0,4,NV,67.15,13,2,22,46,2021,5,1,1,1.0
86,445.13,302.0,Senior,3,0,Unknown,comcast cable communications  llc,southwest,california,MOBL,DESKTOP,UN_PWD,ALLOW,89431,NV,Unknown,1997-06-15,Morning,7/8/2021,Non-Fraud,45722.0,60586.0,4,NV,67.15,13,2,22,61,2021,7,0,7,0.0
87,91.01,10792.86,Adult,4,722,Unknown,missing,missing,missing,MOBL,MOBILE,UN_PWD,ALLOW,89431,NV,Unknown,2016-02-07,Afternoon,5/20/2021,Non-Fraud,45722.0,60586.0,4,NV,67.15,13,2,22,37,2021,5,0,7,0.0
88,5.16,0.0,Senior,3,9,Unknown,centurylink communications  llc,southwest,arizona,MOBL,MOBILE,UN_PWD,ALLOW,89431,NV,Unknown,2010-01-01,Morning,1/19/2021,Non-Fraud,45722.0,60586.0,4,NV,67.15,13,2,22,60,2021,1,0,7,0.0
89,168.81,77243.8,Adult,9,1683,2-3 years,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,89431,NV,1 year or Less,2012-06-21,Early Morning,4/13/2021,Non-Fraud,45722.0,60586.0,4,NV,67.15,13,2,22,30,2021,4,0,7,0.0
90,477.52,28335.93,Senior,5,787,1 year or Less,charter communications inc,south central,texas,ONLN,missing,UN_PWD,ALLOW,89431,NV,3-4 years,1982-05-31,Evening,7/16/2021,Non-Fraud,45722.0,60586.0,4,NV,67.15,13,2,22,62,2021,7,0,7,0.0
